Iteración,Error MC Exploring Starts,Error MC No Exploring Starts,Error ADP Exploring Starts,Error ADP No Exploring Starts
1,38.028409418125,38.028409418125,38.028409418125,38.028409418125
2,40.09373963197619,40.09373963197619,40.09373963197619,40.09373963197619
3,39.33973923997232,39.33973923997232,39.33973923997232,39.33973923997232
4,46.079376306737025,46.079376306737025,46.079376306737025,46.079376306737025
5,42.19167217334648,42.19167217334648,42.19167217334648,42.19167217334648
6,43.398643302241375,43.398643302241375,43.398643302241375,43.398643302241375
7,47.32595615780387,47.32595615780387,47.32595615780387,47.32595615780387
8,47.54013249967263,47.54013249967263,47.54013249967263,47.54013249967263
9,27.401907335946223,27.401907335946223,27.401907335946223,27.401907335946223
10,27.104667048552987,27.104667048552987,27.104667048552987,27.104667048552987
11,43.36818510893628,43.36818510893628,43.36818510893628,43.36818510893628
12,36.96144399808482,36.96144399808482,36.96144399808482,36.96144399808482
13,35.166417409324914,35.166417409324914,35.166417409324914,35.166417409324914
14,41.17259836920814,41.17259836920814,41.17259836920814,41.17259836920814
15,37.77018608818751,37.77018608818751,37.77018608818751,37.77018608818751
16,37.239702739538686,37.239702739538686,37.239702739538686,37.239702739538686
17,42.65086303260119,42.65086303260119,42.65086303260119,42.65086303260119
18,38.870229110153765,38.870229110153765,38.870229110153765,38.870229110153765
19,33.399166566902686,33.399166566902686,33.399166566902686,33.399166566902686
20,30.690543886931252,30.690543886931252,30.690543886931252,30.690543886931252
21,34.80095581875,34.80095581875,34.80095581875,34.80095581875
22,36.10453851393187,36.10453851393187,36.10453851393187,36.10453851393187
23,32.22867819943124,32.22867819943124,32.22867819943124,32.22867819943124
24,30.8583171680625,30.8583171680625,30.8583171680625,30.8583171680625
25,31.38844636348875,31.38844636348875,31.38844636348875,31.38844636348875
26,30.210405827082585,30.210405827082585,30.210405827082585,30.210405827082585
27,32.33302582723875,32.33302582723875,32.33302582723875,32.33302582723875
28,22.304233039999485,22.304233039999485,22.304233039999485,22.304233039999485
29,29.345069514808632,29.345069514808632,29.345069514808632,29.345069514808632
30,26.4287109763125,26.4287109763125,26.4287109763125,26.4287109763125
31,20.898838445967563,20.898838445967563,20.898838445967563,20.898838445967563
32,26.188579646079138,26.188579646079138,26.188579646079138,26.188579646079138
33,24.71901303375793,24.71901303375793,24.71901303375793,24.71901303375793
34,32.19440982132042,32.19440982132042,32.19440982132042,32.19440982132042
35,26.475310569472196,26.475310569472196,26.475310569472196,26.475310569472196
36,27.142103779465945,27.142103779465945,27.142103779465945,27.142103779465945
37,31.016263325722196,31.016263325722196,31.016263325722196,31.016263325722196
38,24.807258195279065,24.807258195279065,24.807258195279065,24.807258195279065
39,28.19665303950741,28.19665303950741,28.19665303950741,28.19665303950741
40,30.384912194025183,30.384912194025183,30.384912194025183,30.384912194025183
41,32.4707428513125,32.4707428513125,32.4707428513125,32.4707428513125
42,30.57052732293078,30.57052732293078,30.57052732293078,30.57052732293078
43,31.841915236874996,31.841915236874996,31.841915236874996,31.841915236874996
44,30.52151055636999,30.52151055636999,30.52151055636999,30.52151055636999
45,20.0887877874375,20.0887877874375,20.0887877874375,20.0887877874375
46,37.754288111250005,37.754288111250005,37.754288111250005,37.754288111250005
47,37.964042298568124,37.964042298568124,37.964042298568124,37.964042298568124
48,35.2110922278075,35.2110922278075,35.2110922278075,35.2110922278075
49,15.242739634238063,15.242739634238063,15.242739634238063,15.242739634238063
50,25.687408764808634,25.687408764808634,25.687408764808634,25.687408764808634
51,28.16256063980863,28.16256063980863,28.16256063980863,28.16256063980863
